# OpenSignals Text File Format
# {"20:15:12:22:97:41": {"sensor": ["RAW", "RAW", "RAW", "RAW", "RAW", "RAW"], "device name": "20:15:12:22:97:41", "column": ["nSeq", "I1", "I2", "O1", "O2", "EMG1", "EMG2", "EMG3", "ACC1", "ACC2", "ACC3"], "sync interval": 2, "time": "21:47:49.151", "comments": "", "device connection": "BTH20:15:12:22:97:41", "channels": [1, 2, 3, 4, 5, 6], "date": "2017-4-26", "mode": 0, "digital IO": [0, 0, 1, 1], "firmware version": 1281, "device": "bitalino_rev", "position": 0, "sampling rate": 1000, "label": ["EMG1", "EMG2", "EMG3", "ACC1", "ACC2", "ACC3"], "resolution": [4, 1, 1, 1, 1, 10, 10, 10, 10, 6, 6], "special": [{}, {}, {}, {}, {}, {}]}}
# EndOfHeader
0	1	1	0	0	543	502	510	497	29	38	
1	1	1	0	0	519	509	510	497	30	38	
2	1	1	0	0	503	510	506	498	29	38	
3	1	1	0	0	488	508	513	498	29	38	
4	1	1	0	0	519	505	510	498	29	38	
5	1	1	0	0	534	503	507	498	29	38	
6	1	1	0	0	537	508	509	497	30	38	
7	1	1	0	0	527	515	510	498	29	38	
8	1	1	0	0	518	525	509	498	29	38	
9	1	1	0	0	514	525	510	497	30	38	
10	1	1	0	0	491	532	511	498	29	38	
11	1	1	0	0	491	534	508	498	29	38	
12	1	1	0	0	489	529	506	499	29	38	
13	1	1	0	0	495	524	508	498	29	38	
14	1	1	0	0	534	507	504	498	30	38	
15	1	1	0	0	515	504	506	499	30	38	
0	1	1	0	0	505	506	508	499	30	38	
1	1	1	0	0	508	505	509	499	30	38	
2	1	1	0	0	515	504	510	498	30	38	
3	1	1	0	0	517	505	509	499	30	38	
4	1	1	0	0	512	504	508	498	30	38	
5	1	1	0	0	529	498	510	498	29	38	
6	1	1	0	0	526	499	510	498	30	38	
7	1	1	0	0	515	504	510	499	30	38	
8	1	1	0	0	496	510	508	499	30	38	
9	1	1	0	0	523	507	509	499	30	38	
10	1	1	0	0	480	515	508	500	30	38	
11	1	1	0	0	463	522	507	499	30	38	
12	1	1	0	0	496	517	509	499	30	38	
13	1	1	0	0	514	518	507	499	29	38	
14	1	1	0	0	514	521	509	499	30	38	
15	1	1	0	0	478	529	508	499	30	38	
0	1	1	0	0	463	528	512	499	30	38	
1	1	1	0	0	507	526	509	500	30	38	
2	1	1	0	0	573	511	510	500	30	38	
3	1	1	0	0	522	524	509	500	30	38	
4	1	1	0	0	495	528	508	500	30	38	
5	1	1	0	0	504	520	508	501	30	38	
6	1	1	0	0	511	516	507	500	30	38	
